Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\Udacity\Robotics\RoboND-Python-StarterKit\RoboND-Rover-Project\generated_dataset\IMG\robocam_2017_06_17_22_57_09_051.jpg;0;0;1;0;99.66999;85.58897;0.000238257;58.41705;-1.055688E-07
D:\Udacity\Robotics\RoboND-Python-StarterKit\RoboND-Rover-Project\generated_dataset\IMG\robocam_2017_06_17_22_57_09_094.jpg;0;0;0;0;99.66999;85.58897;0.0002392829;58.41705;-2.036141E-07
D:\Udacity\Robotics\RoboND-Python-StarterKit\RoboND-Rover-Project\generated_dataset\IMG\robocam_2017_06_17_22_57_09_144.jpg;0;0;0;0;99.66999;85.58897;0.0002399862;58.41705;-3.374331E-07
D:\Udacity\Robotics\RoboND-Python-StarterKit\RoboND-Rover-Project\generated_dataset\IMG\robocam_2017_06_17_22_57_09_195.jpg;0;0;0;0;99.66999;85.58897;0.0002410411;58.41705;-5.381681E-07
D:\Udacity\Robotics\RoboND-Python-StarterKit\RoboND-Rover-Project\generated_dataset\IMG\robocam_2017_06_17_22_57_09_245.jpg;0;0;0;0;99.66999;85.58897;0.0002417444;58.41705;-6.719936E-07
D:\Udacity\Robotics\RoboND-Python-StarterKit\RoboND-Rover-Project\generated_dataset\IMG\robocam_2017_06_17_22_57_09_294.jpg;0;0;0;0;99.66999;85.58897;0.0002425068;58.41705;-6.227365E-07
D:\Udacity\Robotics\RoboND-Python-StarterKit\RoboND-Rover-Project\generated_dataset\IMG\robocam_2017_06_17_22_57_09_344.jpg;0;0;0;0;99.66999;85.58897;0.0002426251;58.41705;-2.565711E-07
D:\Udacity\Robotics\RoboND-Python-StarterKit\RoboND-Rover-Project\generated_dataset\IMG\robocam_2017_06_17_22_57_09_394.jpg;0;0;0;0;99.66999;85.58897;0.0002428461;58.41705;1.386392E-07
D:\Udacity\Robotics\RoboND-Python-StarterKit\RoboND-Rover-Project\generated_dataset\IMG\robocam_2017_06_17_22_57_09_445.jpg;0;0;0;0;99.66999;85.58897;0.0002430514;58.41705;1.96729E-07
D:\Udacity\Robotics\RoboND-Python-StarterKit\RoboND-Rover-Project\generated_dataset\IMG\robocam_2017_06_17_22_57_09_495.jpg;0;0;0;0;99.66999;85.58897;0.0002429643;58.41705;5.048111E-07
D:\Udacity\Robotics\RoboND-Python-StarterKit\RoboND-Rover-Project\generated_dataset\IMG\robocam_2017_06_17_22_57_09_545.jpg;0;0;0;0;99.66999;85.58897;0.000243096;58.41705;4.311598E-07
D:\Udacity\Robotics\RoboND-Python-StarterKit\RoboND-Rover-Project\generated_dataset\IMG\robocam_2017_06_17_22_57_09_595.jpg;0;0;0;0;99.66999;85.58897;0.000243096;58.41705;4.311598E-07
D:\Udacity\Robotics\RoboND-Python-StarterKit\RoboND-Rover-Project\generated_dataset\IMG\robocam_2017_06_17_22_57_09_645.jpg;0;0;0;0;99.66999;85.58897;0.0002429934;58.41705;4.021214E-07
D:\Udacity\Robotics\RoboND-Python-StarterKit\RoboND-Rover-Project\generated_dataset\IMG\robocam_2017_06_17_22_57_09_695.jpg;0;0;0;0;99.66999;85.58897;0.0002429778;58.41705;6.499445E-08
D:\Udacity\Robotics\RoboND-Python-StarterKit\RoboND-Rover-Project\generated_dataset\IMG\robocam_2017_06_17_22_57_09_746.jpg;0;0;0;0;99.66999;85.58897;0.0002427724;58.41705;6.911116E-09
D:\Udacity\Robotics\RoboND-Python-StarterKit\RoboND-Rover-Project\generated_dataset\IMG\robocam_2017_06_17_22_57_09_795.jpg;0;0;0;0;99.66999;85.58897;0.000242595;58.41705;-5.423435E-07
D:\Udacity\Robotics\RoboND-Python-StarterKit\RoboND-Rover-Project\generated_dataset\IMG\robocam_2017_06_17_22_57_09_845.jpg;0;0;0;0;99.66999;85.58897;0.0002423305;58.41705;-7.835094E-07
D:\Udacity\Robotics\RoboND-Python-StarterKit\RoboND-Rover-Project\generated_dataset\IMG\robocam_2017_06_17_22_57_09_895.jpg;0;0;0;0;99.66999;85.58897;0.0002421096;58.41705;-1.178726E-06
D:\Udacity\Robotics\RoboND-Python-StarterKit\RoboND-Rover-Project\generated_dataset\IMG\robocam_2017_06_17_22_57_09_945.jpg;0;0;0;0;99.66999;85.58897;0.0002419622;58.41705;-1.442195E-06
D:\Udacity\Robotics\RoboND-Python-StarterKit\RoboND-Rover-Project\generated_dataset\IMG\robocam_2017_06_17_22_57_09_995.jpg;0;0;0;0;99.66999;85.58897;0.0002414332;58.41705;-1.924534E-06
D:\Udacity\Robotics\RoboND-Python-StarterKit\RoboND-Rover-Project\generated_dataset\IMG\robocam_2017_06_17_22_57_10_046.jpg;0;0;0;0;99.66999;85.58897;0.0002410806;58.41705;-2.246093E-06
D:\Udacity\Robotics\RoboND-Python-StarterKit\RoboND-Rover-Project\generated_dataset\IMG\robocam_2017_06_17_22_57_10_095.jpg;0;0.14846;0;0;99.67036;85.58956;0.01629842;58.4171;-2.672628E-06
D:\Udacity\Robotics\RoboND-Python-StarterKit\RoboND-Rover-Project\generated_dataset\IMG\robocam_2017_06_17_22_57_10_145.jpg;0;0.2978965;0;0;99.67018;85.58928;0.00803405;58.40911;6.721175E-06
D:\Udacity\Robotics\RoboND-Python-StarterKit\RoboND-Rover-Project\generated_dataset\IMG\robocam_2017_06_17_22_57_10_196.jpg;0;0;0.4480795;0;99.67084;85.59035;0.03309717;58.40899;1.095232E-05
D:\Udacity\Robotics\RoboND-Python-StarterKit\RoboND-Rover-Project\generated_dataset\IMG\robocam_2017_06_17_22_57_10_245.jpg;0;0;0.5984634;0;99.67083;85.59035;0.03076814;58.40899;1.262568E-05
D:\Udacity\Robotics\RoboND-Python-StarterKit\RoboND-Rover-Project\generated_dataset\IMG\robocam_2017_06_17_22_57_10_289.jpg;0;0;0.6977262;0;99.67083;85.59034;0.02828972;58.40899;1.35153E-05
D:\Udacity\Robotics\RoboND-Python-StarterKit\RoboND-Rover-Project\generated_dataset\IMG\robocam_2017_06_17_22_57_10_327.jpg;0;0;0.8871523;0;99.67084;85.59035;0.02569028;58.40898;1.444328E-05
D:\Udacity\Robotics\RoboND-Python-StarterKit\RoboND-Rover-Project\generated_dataset\IMG\robocam_2017_06_17_22_57_10_401.jpg;0;0;0.9984425;0;99.67085;85.59035;0.02024139;58.40899;1.677657E-05
D:\Udacity\Robotics\RoboND-Python-StarterKit\RoboND-Rover-Project\generated_dataset\IMG\robocam_2017_06_17_22_57_10_445.jpg;0;0;1;0;99.67085;85.59036;0.01744644;58.40899;1.724097E-05
